dzien,nowi pacjenci - stan ciezki,nowi pacjenci - stan sredni,nowi pacjenci - stan lekki,zgony,wypisani,sredni czas w izbie (min),sredni czas ocz. na łozko (min),średni czas w szpitalu (min),leki,badania
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 1; Kolonoskopia: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 1; Kolonoskopia: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 1; Kolonoskopia: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 2; Kolonoskopia: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 2; Kolonoskopia: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 2; Kolonoskopia: 1; Konsultacja: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 2; Kolonoskopia: 1; Konsultacja: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 2; Kolonoskopia: 1; Konsultacja: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 2; Kolonoskopia: 1; Konsultacja: 1
1,3,3,3,0,1,0.3,180.0,0.0,6,CT: 1; Biopsja: 3; USG: 1; RTG: 3; EKG: 2; Kolonoskopia: 2; Konsultacja: 1
2,2,9,5,0,22,0.38,349.09,594.55,89,CT: 23; Biopsja: 6; USG: 26; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 23; Biopsja: 6; USG: 26; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 23; Biopsja: 6; USG: 26; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 23; Biopsja: 6; USG: 26; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 23; Biopsja: 6; USG: 26; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 23; Biopsja: 6; USG: 27; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 23; Biopsja: 6; USG: 27; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 24; Biopsja: 6; USG: 27; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 24; Biopsja: 6; USG: 27; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
2,2,9,5,0,22,0.38,349.09,594.55,93,CT: 24; Biopsja: 6; USG: 27; RTG: 14; EKG: 32; Kolonoskopia: 20; Konsultacja: 28; Gastroskopia: 27; MR: 16; KREW: 2
